epoch,train_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_stenosis_precision,val_stenosis_recall,val_recall_f1,val_log_loss,val_checkpoint_score,val_early_stop_score
1,0.454917535930872,0.7640625,0.780390625,0.741346008298839,0.417130918140863,0.8377437325905293,0.8190475522775924,0.8098495336429499,0.7036637931034483,0.773696682464455,0.7370203160270881,0.37362459744388876,0.7647606575597717,0.8144485429602711
2,0.3703254666711603,0.8297619047619048,0.8360677083333334,0.8069727663342474,0.3886777872743713,0.8231197771587744,0.8218355347411126,0.7997029129359177,0.6606118546845124,0.8187203791469194,0.7312169312169312,0.3911121853598751,0.7772815234405208,0.8107692238385151
3,0.3395739480675686,0.845014880952381,0.8522050524443123,0.8235773370881663,0.3958948686262359,0.8231197771587744,0.8235648784318124,0.800238786351936,0.6590909090909091,0.8246445497630331,0.7326315789473684,0.38800388888292986,0.7802693601848771,0.8119018323918742
4,0.3114030473643825,0.8544642857142857,0.8607730553811863,0.8335708621784279,0.46793498148659146,0.8405292479108635,0.8137566953644242,0.8100782513827838,0.7198177676537585,0.7488151658767772,0.7340301974448316,0.3840854549774854,0.7544682414224211,0.811917473373604
5,0.2957175521268731,0.865922619047619,0.8734114583333333,0.8463580842831997,0.41371359059737584,0.8189415041782729,0.8223356422408555,0.7966970346931697,0.650278293135436,0.830568720379147,0.7294484911550468,0.41254469458340043,0.7805569932598876,0.8095163384670125
6,0.2723708605482465,0.8734375,0.8817130275811603,0.8547479919174065,0.4470810569345453,0.8091922005571031,0.8220037952083159,0.7892230914775126,0.6293706293706294,0.8530805687203792,0.7243460764587525,0.4540507426152297,0.7858738724045036,0.8056134433429143
7,0.24158958016584317,0.8883928571428571,0.8959325756176251,0.8710734676333394,0.5492463316508986,0.8238161559888579,0.8195616814829356,0.7995095182595182,0.664396887159533,0.8092417061611374,0.7297008547008547,0.48276032521569257,0.7729589638872518,0.8095355998712269
8,0.22414213018048376,0.8967261904761905,0.9058333333333334,0.8806548384016027,0.5763059028925006,0.8297353760445683,0.8133769408377503,0.8018738921245885,0.68664563617245,0.773696682464455,0.7275766016713092,0.4589282922718945,0.75909160527197,0.8076254164811694
9,0.2160963213692109,0.9022321428571428,0.9106215844983804,0.8866436810034708,0.58093371013994,0.8259052924791086,0.8248455275433038,0.8027507208664464,0.6647509578544061,0.8222748815165877,0.7351694915254238,0.5149151911420758,0.7809050013583636,0.8137981242048751
10,0.20454734197507302,0.9058779761904762,0.9138020833333333,0.8906532611605582,0.5961966035591859,0.8217270194986073,0.8080521981360479,0.7941011078625757,0.6700819672131147,0.7748815165876777,0.7186813186813187,0.46586655694467727,0.7541756385879876,0.8010766529993119
11,0.19327287597670442,0.9130952380952381,0.9199479166666666,0.8985834324203272,0.6695622440251136,0.8279944289693594,0.8131818054348131,0.8005114715521368,0.681912681912682,0.7772511848341233,0.7264673311184939,0.5359810275976962,0.7596683025474283,0.8068466384934749
12,0.18134288432165271,0.9161458333333333,0.9237239583333333,0.902149858985053,0.6850027488051683,0.8328690807799443,0.811099582153173,0.803395399780942,0.6986899563318777,0.7582938388625592,0.7272727272727273,0.5233525145657282,0.7535882657906643,0.8072474909670575
13,0.18028396499298868,0.9189732142857143,0.92671875,0.9053744935132357,0.7062346375752292,0.8373955431754875,0.8108460229769016,0.8066664850413536,0.7134767836919592,0.7464454976303317,0.7295888824551245,0.5249219024504267,0.7509717467532464,0.8087562540091275
14,0.17780801335881863,0.9198660714285715,0.9278884023732117,0.906417198818875,0.7420187669710196,0.838091922005571,0.8113391196238444,0.807367179808951,0.7150964812712827,0.7464454976303317,0.7304347826086957,0.5406405912854897,0.7514861058866386,0.8093531497163977
15,0.17016797559779315,0.9218005952380952,0.9286952776012983,0.9084341512150734,0.7345695327915521,0.834958217270195,0.8115412658795816,0.8051071666632308,0.7046460176991151,0.754739336492891,0.7288329519450801,0.5544580310872014,0.7533184751265084,0.8083242162714062
